name,region,cityProvince,address,holes,phone,certified,status,lat,lng
구례군파크골프장,전남,전남,전라남도 구례군 서시천로 106,9,,False,공개,35.2126327,127.4700903
군산파크골프장,전북,전북,전북특별자치도 군산시 수송동로 58,18,,False,공개,35.9648064,126.7201751
남악파크골프장,전남,전남,전라남도 무안군 심향읍 남악리 2597,18,,False,공개,37.5085,127.0632
남원파크골프장,전북,전북,전북특별자치도 남원시 춘향골 체육공원내,18,,False,공개,37.5085,127.0632
남해파크골프장,전남,전남,전라남도 목포시 연산동 864,9,,False,공개,34.8188609,126.3834813
담양제1파크골프장,전남,전남,전라남도 담양군 담양읍 양각샛길 207,36,,False,공개,37.5085,127.0632
담양제2파크골프장,전남,전남,전라남도 담양군 담양읍 양각리 348,18,,False,공개,37.5085,127.0632
대상파크골프장,광주,광주,광주광역시 북구 월출동 968,18,,False,공개,35.2414428,126.8688195
덕흥파크골프장,광주,광주,광주광역시 서구 덕흥동 157,9,,False,공개,35.1662784,126.836961
둔산파크골프장,전북,전북,전북특별자치도 완주군 봉동읍 둔산리 881,18,,False,공개,37.5085,127.0632
마전교파크골프장,전북,전북,전북특별자치도 전주시 완산구 서신동 738-7,18,,False,공개,35.8338729,127.1150449
무등산파크골프장,광주,광주,광주광역시 동구 남문로 418-13,9,,False,공개,35.0804722,126.952594
무안파크골프장,전남,전남,전라남도 무안군 무안읍 성동리 1086-3,18,,False,공개,34.9920574,126.4897427
무주파크골프장,전북,전북,전북특별자치도 무주군 설천면 상평지길 20 무주복지공원 내,6,,False,공개,37.5085,127.0632
보성미니파크골프장,전남,전남,전라남도 보성군 보성읍 용문길 36-16,9,,False,공개,34.7743444,127.092799
복내파크골프장,전남,전남,전라남도 보성군 복내리 536-16,18,,False,공개,34.89399,127.13343
부귀파크골프장,전북,전북,전북특별자치도 진안군 부귀면 귀상로 652-41,18,,False,공개,35.8378246,127.3919683
부주산국제파크골프장,전남,전남,전라남도 목포시 부주로 159,27,,False,공개,34.8132319,126.4303914
북구파크골프장,광주,광주,광주광역시 북구 연제동 730번지(북구종합운동장내),18,,False,공개,37.5085,127.0632
